	Id	Genere	FranjaEdat	NumVoluntariats
107	107	0	10	16
108	108	0	8	16
109	109	1	10	7
110	110	0	10	13
111	111	1	6	14
112	112	0	7	7
113	113	1	6	17
114	114	2	7	7
115	115	1	8	6
116	116	2	8	0
117	117	0	8	11
118	118	2	7	8
119	119	1	10	9
120	120	2	10	10
121	121	1	6	1
122	122	0	10	8
123	123	0	7	16
124	124	1	8	20
125	125	0	8	5
126	126	0	9	7
127	127	0	7	11
128	128	1	8	12
129	129	0	8	4
130	130	1	8	1
131	131	1	6	19
132	132	1	6	19
133	133	1	6	20
134	134	2	6	13
135	135	0	10	6
136	136	0	7	13
137	137	2	10	10
138	138	0	6	7
139	139	0	6	7
140	140	0	9	7
141	141	0	6	4
142	142	2	10	16
143	143	2	10	3
144	144	2	10	0
145	145	1	10	7
146	146	2	10	19
147	147	0	6	17
148	148	0	7	0
149	149	2	6	14
150	150	2	10	16
151	151	0	7	11
152	152	0	10	1
153	153	0	9	15
154	154	1	10	1
155	155	1	9	6
156	156	1	9	14
157	157	0	10	19
158	158	1	10	6
159	159	0	8	13
160	160	1	6	0
161	161	0	7	18
162	162	0	6	19
163	163	2	8	6
164	164	1	8	7
165	165	0	6	10
166	166	1	6	12
167	167	2	8	0
168	168	1	8	19
169	169	2	9	9
170	170	1	7	5
171	171	1	6	11
172	172	2	8	15
173	173	0	10	19
174	174	2	9	10
175	175	2	9	1
176	176	0	7	0
177	177	2	6	1
178	178	2	6	5
179	179	0	6	11
180	180	2	7	13
181	181	0	7	13
182	182	0	6	15
183	183	2	8	6
184	184	1	10	7
185	185	1	6	2
186	186	0	10	12
187	187	2	7	13
188	188	1	9	15
189	189	1	8	12
190	190	1	6	10
191	191	0	6	4
192	192	0	7	9
193	193	2	9	12
194	194	1	9	0
195	195	2	10	1
196	196	0	10	18
197	197	0	8	1
198	198	1	6	6
199	199	1	9	17
200	200	2	6	11
201	201	2	6	2
202	202	2	9	14
203	203	1	10	7
204	204	0	8	16
205	205	1	10	7
206	206	2	6	19
207	207	1	7	18
208	208	1	6	17
209	209	0	8	14
210	210	2	9	9
211	211	2	6	14
212	212	1	10	14
213	213	0	6	6
214	214	1	7	0
215	215	1	10	11
216	216	1	8	18
217	217	0	9	18
218	218	2	6	10
219	219	1	9	15
220	220	2	9	5
221	221	1	10	5
222	222	0	7	13
223	223	1	10	15
224	224	2	6	17
225	225	1	8	1
226	226	1	8	11
227	227	2	7	17
228	228	1	7	2
229	229	0	7	3
230	230	1	6	0
231	231	0	10	12
232	232	2	10	18
233	233	2	10	19
234	234	1	9	17
235	235	0	9	5
236	236	1	6	0
237	237	0	7	5
238	238	2	9	20
239	239	2	8	5
240	240	1	7	11
241	241	2	10	13
242	242	1	7	8
243	243	1	7	1
244	244	2	10	15
245	245	0	7	17
246	246	1	8	4
247	247	2	10	7
248	248	1	9	11
249	249	2	9	14
250	250	1	7	0
251	251	0	7	5
252	252	0	9	1
253	253	1	10	14
254	254	2	6	6
255	255	2	9	8
256	256	0	7	10
257	257	0	6	4
258	258	2	6	4
259	259	1	6	6
260	260	2	7	20
261	261	1	9	12
262	262	2	7	14
263	263	0	9	10
264	264	0	10	9
265	265	2	9	2
266	266	2	7	0
267	267	1	6	7
268	268	2	6	8
269	269	1	6	16
270	270	1	8	3
271	271	0	10	15
272	272	2	6	8
273	273	2	8	3
274	274	0	10	8
275	275	1	9	16
276	276	2	9	1
277	277	1	8	13
278	278	0	6	16
279	279	1	8	7
280	280	1	7	3
281	281	0	10	3
282	282	1	6	19
283	283	2	9	20
284	284	2	9	13
285	285	2	8	9
286	286	2	7	4
287	287	1	9	11
288	288	0	7	2
289	289	2	9	11
290	290	2	10	1
291	291	1	6	20
292	292	2	7	17
293	293	1	10	9
294	294	1	10	2
295	295	0	7	14
296	296	2	8	19
297	297	1	10	13
298	298	1	8	20
299	299	2	10	18
300	300	0	7	19
301	301	2	9	8
302	302	1	8	1
303	303	0	6	0
304	304	1	7	9
305	305	1	9	12
306	306	2	9	20
307	307	1	9	7
308	308	1	9	13
309	309	0	9	8
310	310	2	7	11
311	311	1	7	1
312	312	0	7	11
313	313	2	7	8
314	314	2	7	9
315	315	2	9	17
316	316	2	8	3
317	317	2	9	11
318	318	0	6	7
319	319	0	10	19
320	320	0	6	17
321	321	1	10	11
322	322	1	8	20
323	323	1	9	4
324	324	2	7	4
325	325	1	9	14
326	326	1	10	7
327	327	1	8	2
328	328	0	7	9
329	329	0	10	12
330	330	2	7	4
331	331	0	8	11
332	332	0	10	7
333	333	1	8	12
334	334	1	8	6
335	335	2	9	0
336	336	2	6	9
337	337	1	10	4
338	338	2	10	19
339	339	1	8	14
340	340	0	8	9
341	341	2	6	8
342	342	1	9	7
343	343	0	7	15
344	344	1	8	13
345	345	2	7	7
346	346	1	6	16
347	347	0	8	18
348	348	1	10	12
349	349	1	6	8
350	350	2	9	0
351	351	2	9	16
352	352	0	7	7
353	353	0	9	11
354	354	0	8	6
355	355	2	8	2
356	356	2	8	6
357	357	2	8	7
358	358	1	9	12
359	359	1	8	19
360	360	0	10	0
361	361	1	7	8
362	362	0	6	12
363	363	1	6	7
364	364	1	9	19
365	365	0	7	20
366	366	0	6	8
367	367	1	6	12
368	368	0	10	17
369	369	0	9	17
370	370	2	7	20
371	371	0	10	17
372	372	1	8	4
373	373	2	8	11
374	374	1	7	7
375	375	1	7	0
376	376	0	9	20
377	377	2	8	12
378	378	0	8	17
379	379	1	7	16
380	380	2	9	12
381	381	2	9	15
382	382	0	6	1
383	383	1	10	0
384	384	1	7	16
385	385	1	6	5
386	386	2	8	17
387	387	1	9	5
388	388	1	7	16
389	389	2	9	17
390	390	2	6	15
391	391	2	8	1
392	392	0	8	0
393	393	0	10	12
394	394	2	10	19
395	395	2	10	18
396	396	2	10	13
397	397	0	8	8
398	398	1	9	14
399	399	2	7	14
400	400	2	8	11
401	401	0	6	2
402	402	2	10	14
403	403	1	6	8
404	404	2	10	18
405	405	2	9	3
406	406	0	8	4
407	407	2	6	4
408	408	2	9	13
409	409	1	7	13
410	410	0	10	6
411	411	2	7	0
412	412	2	9	2
413	413	2	8	18
414	414	1	6	8
415	415	0	7	8
416	416	0	10	12
417	417	2	7	5
418	418	2	8	0
419	419	2	10	2
420	420	0	6	12
421	421	1	10	12
422	422	0	9	5
423	423	1	7	15
424	424	2	10	16
425	425	0	10	18
426	426	0	7	19
427	427	0	6	20
428	428	0	8	3
429	429	1	9	10
430	430	1	10	2
431	431	1	10	7
432	432	2	8	8
433	433	2	7	17
434	434	1	9	10
435	435	0	8	3
436	436	2	7	11
437	437	0	10	0
438	438	0	6	10
439	439	2	7	16
440	440	0	10	2
441	441	0	6	9
442	442	2	8	20
443	443	1	6	2
444	444	1	8	9
445	445	2	8	6
446	446	1	8	20
447	447	2	10	7
448	448	0	6	12
449	449	0	8	0
450	450	1	10	14
451	451	1	10	16
452	452	0	10	3
453	453	2	9	3
454	454	2	9	9
455	455	1	8	2
456	456	1	10	10
457	457	0	7	15
458	458	0	8	18
459	459	0	6	9
460	460	0	6	18
461	461	1	9	8
462	462	0	10	6
463	463	2	6	4
464	464	2	9	18
465	465	1	7	13
466	466	1	6	6
467	467	1	8	5
468	468	0	8	9
469	469	1	9	20
470	470	0	6	4
471	471	0	10	20
472	472	2	10	15
473	473	2	7	14
474	474	2	7	18
475	475	0	9	19
476	476	0	8	14
477	477	1	9	3
478	478	2	10	15
479	479	2	10	5
480	480	1	7	7
481	481	1	10	9
482	482	0	7	3
483	483	0	8	4
484	484	2	6	15
485	485	1	9	0
486	486	0	8	1
487	487	1	7	9
488	488	2	9	3
489	489	1	9	1
490	490	2	6	17
491	491	2	7	16
492	492	1	8	2
493	493	1	9	19
494	494	1	10	6
495	495	2	9	13
496	496	1	7	9
497	497	2	6	19
498	498	2	6	17
499	499	2	9	9
500	500	0	9	17
501	501	0	8	10
502	502	1	10	10
503	503	0	7	19
504	504	1	6	10
505	505	0	10	6
506	506	2	9	16
507	507	2	10	4
508	508	1	10	9
509	509	1	8	3
510	510	1	10	16
511	511	0	10	10
512	512	0	9	17
513	513	2	8	15
514	514	2	6	2
515	515	1	6	20
516	516	2	10	3
517	517	0	6	16
518	518	1	7	19
519	519	0	9	10
520	520	2	7	12
521	521	2	7	5
522	522	0	8	4
523	523	1	6	20
524	524	1	8	15
525	525	0	9	6
526	526	2	7	19
527	527	0	10	10
528	528	1	10	7
529	529	2	7	13
530	530	2	10	3
531	531	1	10	16
532	532	1	8	2
533	533	0	6	15
534	534	2	6	2
535	535	2	7	19
536	536	1	10	16
537	537	2	8	19
538	538	2	7	7
539	539	1	8	15
540	540	2	10	3
541	541	1	7	18
542	542	1	10	2
543	543	1	7	18
544	544	1	6	17
545	545	0	7	12
546	546	0	10	16
547	547	2	10	15
548	548	0	8	13
549	549	2	10	1
550	550	0	8	9
551	551	0	10	11
552	552	2	6	18
553	553	0	8	10
554	554	2	10	4
555	555	2	8	8
556	556	0	7	18
557	557	1	9	6
558	558	0	9	5
559	559	1	6	6
560	560	0	10	12
561	561	0	9	7
562	562	2	6	11
563	563	2	10	1
564	564	0	6	20
565	565	1	6	10
566	566	1	9	7
567	567	0	6	19
568	568	0	7	19
569	569	2	7	11
570	570	2	9	11
571	571	0	10	20
572	572	2	10	1
573	573	2	10	14
574	574	1	10	11
575	575	2	7	6
576	576	1	9	16
577	577	1	10	15
578	578	1	6	20
579	579	0	7	13
580	580	2	8	8
581	581	1	9	19
582	582	1	7	8
583	583	0	7	13
584	584	1	10	14
585	585	2	7	13
586	586	1	9	15
587	587	2	6	7
588	588	0	7	19
589	589	2	9	16
590	590	0	10	17
591	591	0	6	14
592	592	2	8	7
593	593	0	10	3
594	594	0	10	11
595	595	0	10	6
596	596	0	6	13
597	597	0	6	2
598	598	0	8	7
599	599	0	9	4
600	600	0	10	12
601	601	2	7	11
602	602	2	10	17
603	603	2	10	18
604	604	0	7	6
605	605	2	6	12
606	606	2	10	13
607	607	1	6	13
608	608	0	9	6
609	609	2	7	5
610	610	2	9	14
611	611	1	10	15
612	612	2	8	16
613	613	1	8	19
614	614	1	10	14
615	615	2	6	5
616	616	0	8	10
617	617	2	8	7
618	618	1	7	10
619	619	0	7	9
620	620	2	9	4
621	621	0	9	13
622	622	2	6	5
623	623	2	6	6
624	624	2	9	0
625	625	2	8	17
626	626	2	10	17
627	627	1	6	6
628	628	2	10	3
629	629	0	7	2
630	630	2	8	4
631	631	2	8	11
632	632	1	7	4
633	633	2	6	6
634	634	2	7	14
635	635	1	10	14
636	636	0	6	12
637	637	1	10	13
638	638	1	9	20
639	639	2	9	0
640	640	0	10	4
641	641	0	8	11
642	642	2	8	0
643	643	0	10	1
644	644	2	9	5
645	645	2	10	5
646	646	2	6	3
647	647	2	6	13
648	648	0	6	5
649	649	2	9	1
650	650	2	10	12
651	651	0	10	3
652	652	1	10	15
653	653	2	6	16
654	654	2	9	5
655	655	0	8	18
656	656	2	8	4
657	657	2	8	7
658	658	0	8	5
659	659	1	8	10
660	660	2	7	3
661	661	1	6	11
662	662	1	9	10
663	663	0	6	16
664	664	2	9	13
665	665	0	8	0
666	666	1	7	6
667	667	2	9	19
668	668	1	10	15
669	669	1	10	7
670	670	0	10	5
671	671	2	9	10
672	672	0	8	8
673	673	0	7	5
674	674	2	8	3
675	675	0	6	11
676	676	2	8	5
677	677	2	7	11
678	678	1	9	10
679	679	2	7	4
680	680	2	7	4
681	681	1	9	10
682	682	0	6	8
683	683	1	10	2
684	684	2	6	7
685	685	2	10	5
686	686	2	7	6
687	687	0	7	2
688	688	2	8	15
689	689	0	9	7
690	690	2	8	7
691	691	0	8	1
692	692	1	8	0
693	693	0	9	17
694	694	0	10	1
695	695	0	7	0
696	696	0	8	7
697	697	1	7	10
698	698	2	6	3
699	699	2	10	13
700	700	0	9	9
701	701	0	10	19
702	702	0	8	18
703	703	2	8	19
704	704	0	6	11
705	705	2	9	8
706	706	1	10	0
707	707	1	10	3
708	708	1	6	19
709	709	2	9	7
710	710	2	10	20
711	711	1	8	6
712	712	1	8	20
713	713	1	9	20
714	714	1	6	19
715	715	0	9	2
716	716	0	6	19
717	717	1	8	13
718	718	2	8	3
719	719	1	6	3
720	720	0	7	5
721	721	1	10	1
722	722	0	8	14
723	723	0	9	2
724	724	0	9	18
725	725	0	7	7
726	726	2	6	2
727	727	2	10	4
728	728	0	7	14
729	729	1	9	3
730	730	1	7	12
731	731	2	6	12
732	732	0	7	14
733	733	2	8	17
734	734	1	6	1
735	735	2	9	15
736	736	0	7	8
737	737	0	6	14
738	738	0	7	7
739	739	2	6	15
740	740	2	10	18
741	741	2	9	9
742	742	0	9	5
743	743	2	10	19
744	744	1	7	20
745	745	1	10	1
746	746	1	6	3
747	747	1	8	17
748	748	0	9	12
749	749	0	6	2
750	750	2	6	9
751	751	1	8	8
752	752	0	6	18
753	753	0	8	12
754	754	1	8	9
755	755	2	7	9
756	756	1	10	6
757	757	0	8	0
758	758	2	7	5
759	759	1	7	13
760	760	1	10	17
761	761	2	8	3
762	762	0	7	6
763	763	0	8	12
764	764	1	8	13
765	765	2	7	3
766	766	2	9	16
767	767	0	6	19
768	768	2	9	14
769	769	0	9	14
770	770	2	6	17
771	771	0	10	20
772	772	0	8	0
773	773	2	9	14
774	774	2	10	15
775	775	0	6	17
776	776	0	9	9
777	777	2	8	15
778	778	0	8	2
779	779	0	7	3
780	780	0	8	6
781	781	0	7	10
782	782	2	6	5
783	783	0	9	20
784	784	0	9	9
785	785	2	7	18
786	786	1	7	19
787	787	1	8	20
788	788	2	7	16
789	789	0	7	12
790	790	1	8	6
791	791	0	10	15
792	792	2	10	9
793	793	0	7	10
794	794	0	6	4
795	795	1	8	20
796	796	0	10	13
797	797	1	10	16
798	798	1	6	6
799	799	2	10	15
800	800	2	10	20
801	801	1	7	12
802	802	2	7	15
803	803	2	6	0
804	804	0	10	1
805	805	2	10	11
806	806	1	8	8
807	807	1	10	4
808	808	1	8	18
809	809	2	9	2
810	810	0	9	10
811	811	0	10	2
812	812	0	9	1
813	813	0	7	6
814	814	2	7	6
815	815	2	8	11
816	816	2	9	15
817	817	2	7	15
818	818	2	6	9
819	819	0	6	16
820	820	1	6	1
821	821	2	9	7
822	822	0	10	19
823	823	0	8	0
824	824	2	8	6
825	825	1	6	18
826	826	0	7	18
827	827	1	9	16
828	828	0	10	2
829	829	2	9	9
830	830	1	9	3
831	831	1	7	0
832	832	2	6	12
833	833	2	8	18
834	834	2	8	0
835	835	1	10	17
836	836	0	10	15
837	837	1	7	1
838	838	0	8	19
839	839	0	6	2
840	840	2	7	16
841	841	1	6	17
842	842	2	8	14
843	843	2	9	4
844	844	1	8	2
845	845	1	8	9
846	846	0	6	16
847	847	1	7	13
848	848	2	8	19
849	849	0	10	0
850	850	2	10	19
851	851	1	6	9
852	852	0	9	6
853	853	1	7	7
854	854	0	10	20
855	855	0	7	8
856	856	0	10	15
857	857	2	6	18
858	858	0	6	0
859	859	2	10	20
860	860	2	8	14
861	861	2	9	0
862	862	2	9	12
863	863	1	9	17
864	864	2	9	7
865	865	2	9	17
866	866	0	9	7
867	867	2	8	2
868	868	1	6	18
869	869	0	7	20
870	870	1	7	5
871	871	2	9	9
872	872	1	8	9
873	873	1	6	3
874	874	0	9	2
875	875	1	6	19
876	876	2	10	9
877	877	0	7	20
878	878	1	9	9
879	879	1	6	3
880	880	2	6	6
881	881	1	8	20
882	882	1	6	12
883	883	0	8	13
884	884	0	6	6
885	885	0	10	9
886	886	1	8	1
887	887	1	6	4
888	888	1	9	17
889	889	0	7	4
890	890	2	7	18
891	891	0	9	13
892	892	0	8	18
893	893	2	6	6
894	894	1	9	11
895	895	2	8	19
896	896	2	6	13
897	897	2	7	19
898	898	0	6	12
899	899	0	7	15
900	900	2	8	17
901	901	0	6	18
902	902	0	8	16
903	903	1	8	16
904	904	2	9	20
905	905	1	10	16
906	906	0	10	15
907	907	1	7	17
908	908	0	8	12
909	909	2	7	13
910	910	1	7	16
911	911	2	9	18
912	912	0	10	20
913	913	1	8	19
914	914	0	9	18
915	915	0	8	18
916	916	0	7	10
917	917	1	6	20
918	918	0	9	2
919	919	2	10	14
920	920	0	9	13
921	921	0	10	9
922	922	0	6	17
923	923	0	10	2
924	924	1	9	12
925	925	1	7	19
926	926	1	9	10
927	927	1	7	0
928	928	1	6	20
929	929	0	8	11
930	930	1	10	0
931	931	0	7	2
932	932	2	7	8
933	933	2	7	11
934	934	1	10	8
935	935	1	10	16
936	936	1	6	8
937	937	1	10	10
938	938	2	6	6
939	939	1	7	0
940	940	1	6	3
941	941	2	9	9
942	942	1	7	20
943	943	2	9	9
944	944	1	6	0
945	945	1	7	10
946	946	2	10	6
947	947	2	10	11
948	948	0	8	18
949	949	0	6	2
950	950	0	8	13
951	951	0	7	15
952	952	1	9	0
953	953	2	6	20
954	954	1	8	5
955	955	0	10	15
956	956	2	7	15
957	957	1	10	3
958	958	1	8	18
959	959	0	9	17
960	960	0	7	17
961	961	0	7	11
962	962	1	6	14
963	963	2	7	8
964	964	1	10	9
965	965	1	7	0
966	966	1	9	12
967	967	2	9	5
968	968	1	9	17
969	969	1	6	20
970	970	0	8	15
971	971	1	10	14
972	972	1	6	4
973	973	0	7	18
974	974	1	6	14
975	975	2	8	20
976	976	0	8	8
977	977	1	9	8
978	978	0	6	17
979	979	0	6	2
980	980	1	9	1
981	981	0	6	15
982	982	2	7	10
983	983	2	7	15
984	984	0	10	17
985	985	1	10	3
986	986	0	8	2
987	987	1	6	4
988	988	2	6	4
989	989	1	8	8
990	990	2	6	4
991	991	1	9	18
992	992	1	9	3
993	993	1	9	10
994	994	1	10	10
995	995	0	10	16
996	996	0	10	10
997	997	1	6	15
998	998	1	6	17
999	999	1	10	8
1000	1000	1	10	15
1001	1001	1	6	19
1002	1002	2	7	11
1003	1003	0	7	7
1004	1004	0	9	18
1005	1005	0	8	10
1006	1006	0	6	8
1007	1007	0	7	1
1008	1008	1	6	4
1009	1009	1	8	3
1010	1010	0	8	0
1011	1011	0	6	1
1012	1012	1	8	4
1013	1013	1	8	7
1014	1014	0	8	10
1015	1015	1	6	10
1016	1016	1	6	8
1017	1017	1	6	5
1018	1018	0	7	10
1019	1019	0	7	10
1020	1020	1	8	1
1021	1021	1	8	1
1022	1022	1	6	9
1023	1023	0	7	4
1024	1024	1	7	2
1025	1025	1	6	6
1026	1026	0	6	2
1027	1027	0	6	5
1028	1028	1	8	0
1029	1029	1	6	9
1030	1030	0	7	1
1031	1031	1	7	5
1032	1032	1	8	0
1033	1033	0	6	5
1034	1034	1	8	6
1035	1035	1	8	9
1036	1036	1	7	2
1037	1037	0	7	2
1038	1038	1	7	4
1039	1039	1	7	5
1040	1040	1	7	3
1041	1041	0	7	2
1042	1042	1	8	6
1043	1043	1	6	9
1044	1044	0	7	4
1045	1045	0	7	10
1046	1046	0	6	10
1047	1047	0	7	10
1048	1048	0	7	3
1049	1049	0	7	3
1050	1050	0	8	5
1051	1051	0	7	4
1052	1052	1	8	9
1053	1053	1	7	9
1054	1054	1	8	9
1055	1055	1	8	7
1056	1056	1	6	1
1057	1057	1	7	6
1058	1058	0	7	8
1059	1059	0	7	0
1060	1060	1	6	3
1061	1061	0	6	3
1062	1062	0	7	4
1063	1063	1	8	3
1064	1064	0	7	2
1065	1065	0	7	9
1066	1066	0	7	10
1067	1067	1	7	10
1068	1068	1	8	8
1069	1069	0	7	5
1070	1070	1	6	6
1071	1071	1	7	9
1072	1072	0	7	4
1073	1073	0	8	2
1074	1074	1	6	10
1075	1075	0	8	8
1076	1076	0	7	1
1077	1077	0	7	7
1078	1078	1	6	5
1079	1079	0	8	3
1080	1080	1	6	4
1081	1081	0	6	5
1082	1082	0	6	5
1083	1083	1	7	10
1084	1084	1	8	3
1085	1085	0	7	3
1086	1086	1	7	2
1087	1087	1	7	10
1088	1088	1	7	7
1089	1089	1	7	3
1090	1090	0	7	1
1091	1091	1	7	4
1092	1092	1	6	10
1093	1093	1	7	1
1094	1094	0	7	0
1095	1095	0	6	10
1096	1096	1	7	10
1097	1097	1	8	7
1098	1098	1	6	8
1099	1099	1	8	4
1100	1100	1	6	8
1101	1101	1	6	4
1102	1102	1	7	7
1103	1103	1	6	8
1104	1104	0	7	6
1105	1105	1	7	6
1106	1106	1	8	2
1107	1107	0	7	8
1108	1108	0	8	10
1109	1109	0	6	8
1110	1110	1	8	7
1111	1111	1	6	7
1112	1112	1	6	10
1113	1113	1	6	5
1114	1114	0	8	1
1115	1115	1	6	8
1116	1116	1	8	7
1117	1117	1	6	2
1118	1118	0	6	4
1119	1119	1	8	10
1120	1120	1	8	8
1121	1121	1	8	10
1122	1122	0	8	3
1123	1123	0	6	0
1124	1124	1	8	1
1125	1125	1	8	10
1126	1126	1	8	0
1127	1127	0	8	1
1128	1128	1	8	10
1129	1129	1	6	0
1130	1130	0	8	4
1131	1131	1	7	0
1132	1132	1	8	9
1133	1133	1	6	6
1134	1134	1	6	1
1135	1135	0	6	1
1136	1136	1	7	5
1137	1137	1	7	2
1138	1138	0	6	6
1139	1139	0	8	7
1140	1140	0	7	1
1141	1141	1	7	5
1142	1142	0	7	0
1143	1143	0	7	2
1144	1144	0	7	8
1145	1145	0	8	7
1146	1146	1	8	1
1147	1147	1	8	0
1148	1148	0	6	7
1149	1149	1	7	5
1150	1150	1	7	3
1151	1151	1	7	7
1152	1152	0	7	6
1153	1153	0	6	6
1154	1154	0	6	7
1155	1155	0	6	3
1156	1156	0	6	9
1157	1157	1	6	5
1158	1158	1	6	3
1159	1159	1	7	5
1160	1160	0	8	5
1161	1161	0	6	10
1162	1162	0	7	4
1163	1163	0	7	2
1164	1164	0	7	0
1165	1165	0	8	2
1166	1166	0	8	9
1167	1167	1	8	0
1168	1168	1	7	6
1169	1169	0	7	0
1170	1170	1	6	8
1171	1171	1	8	0
1172	1172	0	7	7
1173	1173	0	7	10
1174	1174	1	7	5
1175	1175	1	8	3
1176	1176	0	8	8
1177	1177	0	6	2
1178	1178	0	8	1
1179	1179	0	7	6
1180	1180	1	8	9
1181	1181	1	7	4
1182	1182	1	7	9
1183	1183	0	6	3
1184	1184	0	6	6
1185	1185	1	6	5
1186	1186	0	7	0
1187	1187	1	6	8
1188	1188	0	8	8
1189	1189	0	7	2
1190	1190	1	7	1
1191	1191	0	8	3
1192	1192	1	7	7
1193	1193	1	8	0
1194	1194	1	8	0
1195	1195	1	6	0
1196	1196	0	6	7
1197	1197	0	8	8
1198	1198	0	6	8
1199	1199	0	6	8
1200	1200	0	7	4
1201	1201	0	6	6
1202	1202	1	6	8
1203	1203	0	6	4
1204	1204	1	7	9
1205	1205	0	7	4
1206	1206	0	7	6
1207	1207	0	6	9
1208	1208	0	7	2
1209	1209	0	7	6
1210	1210	0	6	5
1211	1211	0	6	4
1212	1212	1	8	3
1213	1213	0	8	5
1214	1214	0	6	10
1215	1215	0	6	1
1216	1216	0	6	2
1217	1217	0	7	9
1218	1218	0	6	6
1219	1219	1	6	7
1220	1220	0	7	4
1221	1221	1	7	4
1222	1222	0	8	5
1223	1223	1	8	6
1224	1224	1	6	0
1225	1225	0	8	0
1226	1226	1	7	2
1227	1227	0	7	6
1228	1228	0	7	8
1229	1229	1	8	10
1230	1230	1	7	1
1231	1231	1	8	3
1232	1232	0	7	7
1233	1233	0	8	1
1234	1234	1	8	8
1235	1235	1	8	4
1236	1236	0	7	0
1237	1237	0	6	0
1238	1238	1	6	7
1239	1239	1	8	7
1240	1240	0	7	5
1241	1241	0	7	10
1242	1242	0	7	7
1243	1243	1	6	0
1244	1244	0	7	5
1245	1245	0	7	7
1246	1246	1	7	3
1247	1247	1	6	10
1248	1248	1	8	9
1249	1249	0	6	4
1250	1250	0	6	3
1251	1251	0	6	7
1252	1252	1	8	2
1253	1253	1	6	7
1254	1254	0	8	7
1255	1255	1	6	10
1256	1256	1	8	5
1257	1257	0	7	2
1258	1258	0	8	3
1259	1259	0	6	6
1260	1260	1	7	6
1261	1261	0	8	6
1262	1262	0	6	7
1263	1263	0	7	5
1264	1264	1	6	6
1265	1265	0	8	1
1266	1266	0	8	7
1267	1267	0	8	8
1268	1268	0	6	10
1269	1269	1	7	6
1270	1270	0	6	4
1271	1271	0	6	8
1272	1272	1	8	6
1273	1273	1	8	10
1274	1274	0	6	4
1275	1275	0	6	10
1276	1276	0	8	5
1277	1277	0	6	0
1278	1278	1	8	6
1279	1279	0	8	10
1280	1280	0	7	10
1281	1281	0	6	9
1282	1282	0	8	1
1283	1283	1	8	5
1284	1284	1	7	7
1285	1285	1	7	4
1286	1286	1	7	5
1287	1287	0	8	1
1288	1288	1	6	0
1289	1289	1	8	6
1290	1290	0	6	8
1291	1291	0	8	10
1292	1292	1	7	7
1293	1293	0	7	7
1294	1294	1	6	0
1295	1295	0	7	3
1296	1296	1	6	0
1297	1297	0	6	1
1298	1298	0	6	0
1299	1299	1	7	3
1300	1300	1	8	7
1301	1301	1	7	7
1302	1302	0	8	2
1303	1303	0	6	9
1304	1304	1	7	2
1305	1305	1	6	3
1306	1306	1	7	8
1307	1307	0	7	4
1308	1308	1	7	10
1309	1309	0	7	5
1310	1310	0	8	4
1311	1311	1	6	7
1312	1312	1	7	0
1313	1313	0	8	4
1314	1314	0	7	4
1315	1315	1	7	8
1316	1316	0	8	7
1317	1317	1	6	6
1318	1318	1	6	4
1319	1319	0	6	9
1320	1320	1	6	7
1321	1321	1	7	4
1322	1322	1	6	1
1323	1323	1	7	10
1324	1324	0	6	2
1325	1325	1	7	0
1326	1326	0	7	4
1327	1327	0	8	6
1328	1328	0	6	4
