,Id,Genere,FranjaEdat,NumVoluntariats,Social,Cultural,Ambiental,Educatiu
3724,3724,0,8,1,1,0,0,0
6582,6582,0,8,1,1,0,0,1
4210,4210,1,7,4,1,0,1,0
3460,3460,0,6,5,1,1,0,1
3900,3900,0,7,5,0,0,1,0
4036,4036,0,7,1,0,0,1,0
4670,4670,1,8,2,1,0,0,0
2667,2667,0,7,3,1,0,0,0
3786,3786,1,8,6,1,1,1,0
3265,3265,1,7,4,1,1,1,1
5267,5267,0,8,2,0,0,1,0
3182,3182,0,7,3,1,1,1,1
3943,3943,1,7,5,1,0,1,0
6012,6012,1,6,1,0,1,1,0
4571,4571,0,6,1,0,0,0,1
1459,1459,1,8,6,1,0,1,1
2018,2018,0,7,4,0,1,1,1
6754,6754,0,9,2,0,1,0,1
6101,6101,1,6,4,1,1,1,0
4517,4517,1,8,4,1,0,0,1
2763,2763,0,6,2,0,1,0,0
1915,1915,0,7,2,1,0,1,0
336,336,1,9,2,1,0,1,1
5718,5718,0,7,4,1,0,1,0
4348,4348,0,7,4,1,0,0,1
3885,3885,1,8,2,0,0,0,1
1948,1948,1,8,2,1,0,1,1
5652,5652,1,6,3,1,0,0,0
3590,3590,1,6,4,1,0,1,0
3409,3409,0,7,5,1,1,0,1
7655,7655,1,8,1,0,1,0,0
3754,3754,1,6,4,1,0,0,1
2106,2106,0,6,5,1,1,0,0
7839,7839,0,7,0,1,1,0,0
7609,7609,0,7,2,1,1,0,0
1162,1162,1,7,10,0,1,0,0
2146,2146,1,7,2,1,1,1,1
3617,3617,0,7,4,1,1,1,0
5737,5737,1,9,2,1,1,0,0
3176,3176,0,6,5,1,0,1,1
3028,3028,0,6,3,1,0,0,1
3950,3950,1,7,3,0,0,0,1
1798,1798,0,8,4,1,1,0,1
197,197,0,6,3,1,1,1,1
7914,7914,1,6,0,1,1,0,0
6323,6323,0,6,2,0,1,1,0
2950,2950,0,7,2,1,0,1,0
3097,3097,0,7,3,0,0,1,1
3382,3382,1,6,5,0,0,1,0
2394,2394,1,7,5,1,0,1,0
1271,1271,0,6,3,1,1,0,1
456,456,0,6,5,0,1,1,0
401,401,1,8,2,0,0,0,0
1256,1256,0,6,10,0,1,0,1
4860,4860,0,7,1,1,1,0,1
6967,6967,0,9,1,1,1,0,0
8194,8194,1,8,1,0,1,1,0
5377,5377,1,9,1,0,0,1,0
5157,5157,0,7,4,0,0,0,0
33,33,1,6,3,1,1,1,0
1318,1318,1,8,6,0,1,1,0
7384,7384,0,9,1,0,1,1,1
7803,7803,0,6,2,0,1,1,0
1070,1070,0,6,1,0,1,0,1
858,858,2,9,5,0,0,0,1
3502,3502,0,6,2,0,0,1,0
4199,4199,0,7,6,1,0,0,1
2033,2033,1,7,5,1,0,1,0
5671,5671,0,9,6,1,1,1,0
8207,8207,0,6,1,1,1,0,0
3212,3212,0,7,3,0,0,0,1
3809,3809,1,8,1,1,1,0,1
6273,6273,0,8,6,0,0,1,0
6889,6889,1,9,0,0,0,0,1
1195,1195,0,8,4,0,0,0,0
6455,6455,0,6,1,0,1,1,0
3948,3948,0,7,6,0,0,1,0
7436,7436,1,8,1,0,1,0,0
4840,4840,1,6,5,1,1,1,1
3674,3674,0,6,4,0,0,0,1
2423,2423,0,6,4,0,1,0,0
2600,2600,1,6,3,0,1,1,0
2264,2264,1,7,3,1,1,1,1
7158,7158,1,9,2,1,1,0,1
3105,3105,0,7,2,1,1,1,1
4957,4957,1,6,6,0,0,0,0
7758,7758,1,7,0,0,1,1,0
404,404,1,9,3,1,0,0,1
122,122,0,7,2,1,1,1,1
5312,5312,1,9,6,0,1,0,0
3877,3877,1,8,4,1,0,0,0
1374,1374,1,8,6,1,1,1,0
4395,4395,0,7,4,0,0,0,1
398,398,0,7,3,1,1,1,0
6100,6100,0,9,1,0,1,1,0
5320,5320,1,6,2,1,0,0,0
5078,5078,0,9,2,0,1,1,0
6954,6954,0,9,3,1,0,0,0
7782,7782,0,6,0,0,1,0,0
6119,6119,0,9,6,1,1,1,0
4258,4258,0,6,7,1,0,1,0
6645,6645,0,8,2,1,0,0,0
5716,5716,0,6,5,1,1,0,0
171,171,0,7,4,0,0,1,0
2278,2278,1,7,2,0,1,0,1
164,164,1,7,4,1,1,0,1
4725,4725,1,7,7,1,0,1,1
7681,7681,0,6,2,0,1,1,0
4848,4848,1,8,3,1,0,0,0
958,958,0,6,18,1,1,1,1
4720,4720,1,6,7,1,1,1,0
7111,7111,0,9,1,1,1,1,1
1458,1458,1,7,10,1,1,1,1
5993,5993,0,6,3,0,0,0,0
5164,5164,0,8,6,1,0,1,0
4136,4136,1,6,2,1,0,0,1
1490,1490,1,6,5,0,0,0,0
2316,2316,1,7,2,0,0,0,1
6287,6287,1,7,3,0,0,1,0
2674,2674,1,7,2,0,1,0,1
2914,2914,0,6,5,1,0,1,1
1324,1324,1,6,0,0,1,1,1
4185,4185,1,8,6,0,0,0,0
5269,5269,0,8,4,1,0,1,0
905,905,0,8,0,1,1,0,1
4373,4373,1,6,7,0,0,1,1
1779,1779,1,8,5,1,1,1,1
1444,1444,0,7,10,0,0,0,0
4739,4739,0,6,7,1,0,0,1
5680,5680,1,8,6,0,1,1,0
5171,5171,1,8,1,1,0,0,0
4338,4338,1,7,4,1,1,0,1
1433,1433,0,6,8,0,0,0,0
3062,3062,0,6,4,0,0,0,0
7471,7471,1,8,1,0,1,0,1
593,593,2,7,17,1,0,0,1
5963,5963,0,6,3,1,0,0,0
4276,4276,0,8,1,0,0,0,1
2006,2006,0,6,5,0,1,0,1
5967,5967,1,8,5,0,0,0,0
2440,2440,0,6,3,1,1,1,0
5894,5894,0,9,4,0,1,0,0
2560,2560,1,6,4,1,0,0,0
969,969,0,6,12,1,1,0,0
4552,4552,0,8,2,0,1,1,1
1954,1954,0,8,3,1,1,0,0
2223,2223,1,6,4,0,1,0,1
5516,5516,0,8,1,1,1,1,0
6499,6499,0,7,5,0,0,0,0
7264,7264,0,8,0,0,1,0,1
3037,3037,0,6,2,1,1,1,0
6360,6360,0,6,4,0,0,0,0
5883,5883,0,9,2,0,0,1,0
5956,5956,1,7,5,0,1,1,0
6712,6712,0,9,2,1,1,1,0
7090,7090,1,8,2,0,1,1,0
5359,5359,1,7,6,1,0,0,0
7352,7352,0,8,0,0,1,1,1
7561,7561,1,6,2,1,1,1,0
2097,2097,1,7,2,1,1,1,1
4976,4976,1,8,4,0,0,1,1
5064,5064,1,9,2,0,0,0,0
2168,2168,1,7,4,1,0,1,1
5628,5628,0,7,2,1,1,0,0
1978,1978,1,7,3,0,0,1,1
1583,1583,1,7,5,1,0,1,1
4025,4025,0,6,4,1,1,1,0
1326,1326,0,6,1,1,1,0,1
7444,7444,0,8,0,1,1,0,0
1104,1104,1,6,2,1,1,1,0
2515,2515,0,7,3,1,0,1,0
4308,4308,0,8,2,0,1,0,1
2744,2744,0,6,3,1,0,0,1
2172,2172,1,7,5,0,0,0,1
6574,6574,0,8,2,1,1,1,1
6980,6980,0,9,1,0,0,1,0
5522,5522,0,6,5,0,1,1,0
6798,6798,0,9,0,0,1,1,1
623,623,0,9,10,1,1,1,0
7913,7913,1,6,0,1,1,0,0
7391,7391,1,9,2,1,1,0,1
7454,7454,1,8,2,0,1,1,1
6679,6679,1,9,1,1,1,0,1
4661,4661,1,6,4,0,1,1,1
1807,1807,0,8,1,0,0,0,1
4818,4818,0,8,7,1,1,1,1
3127,3127,1,6,5,1,0,0,1
2242,2242,0,6,2,0,1,0,1
73,73,0,6,5,1,1,1,1
5889,5889,1,9,5,1,1,1,0
400,400,1,8,5,1,0,0,1
4623,4623,0,8,2,0,0,1,0
6609,6609,0,9,2,0,1,0,1
2689,2689,1,7,5,0,1,0,1
1051,1051,1,8,5,1,1,1,0
5367,5367,1,9,3,1,0,0,0
1588,1588,1,7,4,1,0,1,0
5512,5512,1,7,2,0,1,1,0
1687,1687,0,7,4,1,0,0,1
190,190,1,6,3,1,1,1,0
3751,3751,1,7,1,1,0,1,1
2903,2903,1,6,2,0,0,1,1
8076,8076,0,6,0,0,1,1,0
7799,7799,1,7,0,0,1,1,0
1959,1959,1,7,5,0,1,1,1
1061,1061,0,7,5,1,1,0,1
7632,7632,1,6,2,1,1,0,0
2010,2010,1,6,5,1,1,0,0
5252,5252,1,7,6,1,0,0,0
241,241,0,9,5,1,0,1,1
6281,6281,1,7,1,0,0,1,0
502,502,0,9,2,0,0,1,1
8138,8138,1,7,2,0,1,1,0
5216,5216,1,6,1,1,0,0,0
367,367,0,6,5,0,0,0,0
1809,1809,1,8,4,0,0,0,1
3562,3562,0,7,7,1,0,1,1
6878,6878,0,9,0,0,1,1,0
7482,7482,0,8,1,1,1,1,1
5271,5271,0,7,4,1,0,0,0
5380,5380,0,9,2,1,1,1,0
792,792,2,6,2,1,1,1,0
999,999,0,6,18,1,1,1,0
1899,1899,1,8,3,1,0,0,0
717,717,1,6,10,0,1,0,1
5071,5071,0,6,1,0,0,0,0
7880,7880,0,8,2,0,1,1,0
4460,4460,0,7,1,0,1,1,0
564,564,0,7,11,1,0,0,1
6194,6194,1,9,1,1,1,1,0
839,839,1,9,12,1,1,1,0
4737,4737,1,8,2,0,0,1,1
4334,4334,0,8,6,0,0,0,0
5392,5392,0,6,4,1,0,1,0
2510,2510,0,6,2,0,0,1,1
7714,7714,1,6,1,1,1,0,0
322,322,1,6,4,0,0,1,0
4940,4940,1,6,6,1,0,0,1
6004,6004,0,8,6,0,0,1,0
4266,4266,1,8,3,1,1,0,0
770,770,2,9,14,1,0,0,1
3406,3406,0,7,3,1,0,1,1
3208,3208,0,6,3,1,1,0,1
3238,3238,1,7,5,1,0,1,1
4404,4404,0,8,4,0,1,0,0
7574,7574,0,7,2,0,1,1,0
1621,1621,1,7,4,1,1,1,0
5373,5373,1,7,4,0,0,1,0
8284,8284,0,7,0,1,1,0,0
5574,5574,0,7,3,1,0,1,0
6800,6800,1,9,0,0,0,1,0
3823,3823,1,7,7,1,0,1,1
5872,5872,0,8,5,0,1,1,0
290,290,0,8,2,0,0,0,0
6261,6261,0,8,1,1,1,1,0
7121,7121,1,9,2,1,1,1,1
2142,2142,0,6,2,0,0,0,0
6638,6638,0,8,0,1,1,0,0
3046,3046,1,7,5,0,0,0,0
99,99,1,6,3,0,1,1,0
3858,3858,0,7,6,1,1,0,1
3259,3259,0,6,5,1,0,0,0
1045,1045,1,7,5,0,1,0,0
7341,7341,1,9,0,0,1,0,1
399,399,0,6,3,0,1,1,0
2239,2239,0,7,3,0,1,1,0
3262,3262,0,6,3,0,1,1,1
3421,3421,0,7,2,1,1,1,1
6735,6735,0,8,3,0,1,0,0
3702,3702,0,6,1,0,1,1,1
5941,5941,0,8,2,0,1,0,0
2486,2486,0,6,3,1,0,0,1
3573,3573,0,6,1,0,0,1,1
6728,6728,0,8,1,0,1,0,0
2410,2410,0,6,4,0,1,0,1
6083,6083,0,9,5,1,0,1,0
7616,7616,0,6,0,0,1,1,0
3186,3186,0,7,4,0,1,1,0
1664,1664,1,8,2,1,0,0,0
2111,2111,0,6,3,0,0,1,1
1240,1240,1,8,6,0,1,0,0
5817,5817,1,7,2,0,1,0,0
4982,4982,0,8,6,1,1,1,0
2390,2390,0,7,3,0,0,0,1
7077,7077,1,9,1,0,1,0,0
7464,7464,0,8,2,0,1,1,0
3610,3610,0,8,3,1,0,0,0
833,833,1,8,17,0,0,0,0
1417,1417,0,8,3,0,1,0,0
3586,3586,0,7,1,1,1,0,0
6881,6881,0,9,0,0,1,0,1
5960,5960,1,6,4,1,1,1,0
5775,5775,1,7,3,1,0,0,0
830,830,2,6,15,1,1,0,1
7385,7385,0,9,2,1,1,0,0
243,243,0,7,5,0,1,0,0
6670,6670,1,9,2,0,1,0,1
5015,5015,1,6,5,1,1,1,0
6438,6438,1,6,6,0,0,0,0
2338,2338,0,7,4,0,1,1,1
4950,4950,1,8,6,1,0,0,0
6469,6469,0,9,2,0,0,0,0
1518,1518,1,8,5,0,1,1,1
7114,7114,0,8,1,0,1,1,0
2235,2235,0,6,4,1,1,1,0
3761,3761,1,7,1,0,0,0,1
752,752,0,8,12,0,1,0,1
19,19,0,7,2,0,1,0,0
5622,5622,1,7,1,0,1,0,0
5927,5927,1,7,2,1,1,1,0
6292,6292,0,7,5,0,1,0,0
1827,1827,1,8,1,0,1,1,1
6372,6372,1,9,3,0,1,1,0
736,736,0,7,19,0,0,0,1
3630,3630,0,7,2,1,1,0,0
3160,3160,0,7,4,0,0,0,0
3461,3461,0,7,3,0,0,1,1
6988,6988,0,9,2,0,1,0,0
4054,4054,1,7,1,0,0,1,0
6030,6030,1,7,1,1,1,0,0
5136,5136,1,8,2,1,0,0,0
1992,1992,1,8,5,0,1,1,0
2003,2003,0,8,2,1,1,0,0
688,688,1,6,8,1,0,0,1
4254,4254,1,6,1,1,0,1,0
3996,3996,0,7,4,0,1,0,1
1386,1386,1,7,5,0,0,0,1
4792,4792,1,8,2,1,1,0,0
479,479,0,6,4,0,0,1,0
1388,1388,1,7,0,0,1,1,1
3919,3919,1,6,7,1,0,0,1
8210,8210,1,6,0,1,1,0,0
520,520,0,8,4,1,1,0,1
5546,5546,1,8,6,1,0,0,0
5977,5977,1,8,4,1,1,0,0
4995,4995,0,8,6,1,0,0,1
2907,2907,1,7,4,0,1,0,0
4125,4125,0,7,4,0,0,0,0
7627,7627,0,8,2,1,1,1,0
7117,7117,0,9,0,1,1,1,0
5095,5095,0,7,1,1,0,0,0
7960,7960,0,7,0,0,1,0,0
3930,3930,0,6,5,0,0,1,1
1851,1851,1,8,4,0,0,1,1
5635,5635,1,7,1,0,0,0,0
6248,6248,0,7,3,0,0,0,0
2069,2069,0,7,5,0,1,0,1
524,524,1,6,18,0,0,1,0
5033,5033,0,6,3,0,0,1,0
6552,6552,1,9,0,1,0,0,1
6289,6289,0,9,4,1,1,0,0
3307,3307,0,7,5,1,0,1,0
7712,7712,1,7,0,1,1,0,0
6949,6949,0,8,2,0,1,1,1
2771,2771,0,7,5,1,1,0,1
4076,4076,0,8,4,1,1,0,0
2216,2216,1,6,2,0,1,1,1
7175,7175,1,9,0,1,1,1,1
3843,3843,0,6,3,0,0,1,1
7685,7685,0,6,1,1,1,0,0
2932,2932,1,6,2,0,1,1,0
5730,5730,1,8,2,1,0,1,0
2373,2373,1,6,3,1,1,0,1
5111,5111,0,8,5,0,1,1,0
6341,6341,0,6,3,1,1,1,0
8117,8117,1,6,0,1,1,1,0
7368,7368,1,8,2,0,1,1,1
1454,1454,0,8,10,0,0,0,0
4997,4997,0,8,2,0,1,0,0
2199,2199,1,6,2,0,1,1,1
1484,1484,0,8,0,1,1,1,0
1414,1414,1,8,0,0,1,0,0
2254,2254,1,6,3,0,1,0,0
6048,6048,0,8,4,0,1,0,0
2488,2488,0,7,2,1,0,0,0
2493,2493,1,7,3,0,1,1,1
2304,2304,0,7,4,0,1,1,1
761,761,2,6,3,0,0,1,0
5118,5118,1,7,6,0,0,0,0
3298,3298,1,7,4,1,0,1,1
6506,6506,1,9,2,0,0,0,1
8118,8118,1,7,0,0,1,1,0
849,849,0,7,7,1,0,0,0
7171,7171,0,9,2,0,1,0,0
1274,1274,0,8,7,0,0,0,1
2467,2467,0,7,3,0,1,1,1
6657,6657,1,9,1,0,1,1,0
7278,7278,1,8,1,1,1,1,1
3150,3150,1,6,2,1,0,0,0
7030,7030,1,8,2,1,1,0,0
3190,3190,0,7,2,0,1,1,0
7978,7978,1,8,0,0,1,0,0
3021,3021,1,7,5,1,1,1,1
4482,4482,1,7,4,0,1,0,0
2794,2794,0,6,3,1,0,0,0
7335,7335,1,9,0,0,1,1,1
1891,1891,0,8,4,1,1,0,0
4513,4513,1,7,1,1,0,1,1
6255,6255,0,7,2,1,0,1,0
3744,3744,0,8,1,1,1,1,1
1034,1034,0,7,6,0,1,0,1
5891,5891,0,9,6,1,0,1,0
8262,8262,1,6,2,0,1,0,0
3506,3506,1,8,5,0,0,1,0
7836,7836,0,8,1,1,1,0,0
7726,7726,1,8,1,0,1,0,0
6536,6536,0,8,0,0,1,0,0
4026,4026,0,7,3,1,0,1,1
3495,3495,0,6,3,0,1,0,0
3970,3970,0,6,2,1,1,0,0
1254,1254,0,7,3,1,0,0,1
7587,7587,1,7,1,0,1,1,0
2112,2112,1,7,5,0,1,0,0
3805,3805,0,8,4,0,0,1,1
337,337,0,6,4,0,0,1,0
1812,1812,0,7,2,1,1,1,1
3098,3098,1,6,5,1,1,0,0
5184,5184,1,6,5,1,1,1,0
3758,3758,1,7,3,0,1,0,0
4326,4326,0,8,7,1,1,1,0
831,831,2,8,2,1,0,1,1
1281,1281,1,8,7,0,1,1,1
3077,3077,0,6,3,0,1,1,1
5379,5379,0,6,5,1,0,0,0
3192,3192,1,7,2,1,0,1,0
5510,5510,0,9,5,0,1,1,0
3376,3376,0,7,5,1,0,0,0
215,215,0,8,2,1,0,1,1
5008,5008,1,6,5,0,0,0,0
1880,1880,1,8,5,1,0,0,1
4990,4990,1,6,6,0,0,0,1
333,333,0,6,5,0,0,1,1
6738,6738,0,8,1,0,1,0,0
6557,6557,0,9,2,0,0,0,1
1206,1206,0,7,5,1,1,1,1
2028,2028,1,6,2,1,0,1,0
4600,4600,1,7,4,1,0,0,1
6053,6053,1,9,6,0,1,0,0
6993,6993,1,9,0,1,0,1,0
111,111,0,8,2,1,1,0,0
1141,1141,0,8,5,0,1,1,1
5263,5263,1,9,6,1,0,1,0
1936,1936,1,8,1,0,1,0,0
5749,5749,1,9,6,0,0,0,0
2507,2507,0,6,3,0,1,1,0
6294,6294,1,9,3,0,0,0,0
1429,1429,0,7,1,1,0,1,1
4278,4278,0,6,4,1,0,1,1
7383,7383,0,8,0,0,1,1,1
2353,2353,1,6,5,0,0,1,1
184,184,1,8,3,1,0,0,0
3839,3839,0,7,2,0,1,0,1
51,51,1,7,3,1,0,0,1
1961,1961,0,7,2,1,0,1,0
7948,7948,0,8,1,0,1,1,0
3280,3280,0,6,3,1,1,0,1
2520,2520,1,7,5,0,0,1,0
4741,4741,0,8,7,1,0,0,0
1912,1912,0,8,5,1,1,1,1
1977,1977,1,7,1,1,1,1,1
2813,2813,1,6,5,0,0,1,0
4569,4569,1,7,6,1,0,0,1
354,354,1,6,3,0,1,1,0
6257,6257,0,7,2,1,0,1,0
2872,2872,0,7,3,1,0,1,0
4269,4269,0,8,2,1,1,0,0
7867,7867,0,6,1,1,1,0,0
6834,6834,1,9,2,0,0,1,0
299,299,1,9,2,1,0,0,1
2711,2711,0,7,4,1,1,1,0
5153,5153,0,8,5,1,0,1,0
1361,1361,0,7,5,0,0,1,1
7722,7722,1,7,1,1,1,1,0
6246,6246,0,7,4,1,0,0,0
4578,4578,0,7,2,0,1,0,0
5733,5733,0,8,6,1,0,0,0
362,362,1,7,5,0,0,1,0
6286,6286,1,8,2,0,0,0,0
3316,3316,1,7,2,0,0,1,0
6599,6599,0,8,2,1,0,0,0
5405,5405,1,6,4,0,0,0,0
86,86,0,9,5,1,0,0,1
4043,4043,1,6,5,1,0,1,0
6783,6783,0,9,2,1,1,0,1
4852,4852,0,8,2,0,0,0,1
8116,8116,0,6,1,1,1,0,0
7349,7349,1,8,2,1,1,0,1
83,83,1,7,5,0,1,0,0
1120,1120,1,7,5,0,0,1,1
5282,5282,0,7,3,1,1,1,0
6986,6986,1,8,2,1,0,0,1
4006,4006,1,8,3,1,1,1,0
3608,3608,1,7,3,0,1,1,0
5009,5009,0,8,3,0,0,0,0
6885,6885,1,9,3,0,0,1,0
5682,5682,0,8,5,1,0,1,0
191,191,0,6,5,0,1,1,0
3618,3618,1,8,7,1,1,1,1
4541,4541,1,7,6,1,0,1,1
1255,1255,0,8,7,0,0,1,0
6416,6416,1,6,1,1,1,0,0
5182,5182,1,8,6,1,0,0,0
2723,2723,0,6,4,0,1,0,0
8091,8091,0,8,2,1,1,1,0
6994,6994,1,9,2,0,1,1,1
1150,1150,1,8,10,1,1,0,1
2161,2161,0,6,3,0,0,1,0
6457,6457,0,9,3,1,1,1,0
2570,2570,1,7,3,1,0,0,1
4247,4247,0,8,3,0,1,1,1
4241,4241,0,7,6,0,1,0,0
2327,2327,0,7,3,1,1,0,0
749,749,0,9,18,0,0,1,1
5561,5561,0,6,5,0,1,0,0
2792,2792,0,7,2,0,1,0,1
5450,5450,0,6,1,0,0,1,0
1387,1387,1,6,2,1,0,0,1
1109,1109,0,7,4,0,1,1,0
4130,4130,1,8,3,1,0,0,0
8127,8127,0,8,2,0,1,1,0
107,107,0,9,2,1,1,1,0
5983,5983,0,8,5,1,0,0,0
3574,3574,1,8,3,0,0,1,0
2542,2542,1,7,5,1,0,0,1
5848,5848,1,6,4,0,0,1,0
794,794,2,6,20,1,0,0,1
760,760,0,8,20,0,1,1,1
5323,5323,1,9,5,1,1,1,0
6452,6452,1,6,4,0,1,0,0
4765,4765,0,6,3,1,0,1,1
2770,2770,1,7,3,1,0,1,0
1476,1476,0,6,10,1,0,0,0
3007,3007,0,6,3,0,0,1,0
7374,7374,1,9,1,0,1,1,1
5104,5104,1,7,3,1,1,0,0
2540,2540,0,6,4,1,0,1,1
3402,3402,1,7,5,0,1,0,1
8297,8297,1,8,0,0,1,0,0
5831,5831,1,9,3,1,1,1,0
1660,1660,0,8,2,0,1,0,0
7190,7190,1,9,2,1,1,1,1
7548,7548,0,8,1,1,1,0,0
4622,4622,0,7,4,1,0,0,0
1072,1072,1,7,8,1,0,0,1
1058,1058,0,6,2,0,1,1,1
6516,6516,1,9,3,0,1,0,1
