"Ordre";"IdPersona";"Sexe";"FranjaEdat";"Municipi";"DataAlta";"Estudiant";"Treballador";"Aturat";"Jubilat";"Derivats";"Voluntaris"
"37";"39";"H";"3";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"3";"1"
"38";"40";"H";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"2";"0"
"39";"41";"H";"4";"";"2015/01/07";"N";"N";"N";"Y";"2";"1"
"40";"42";"D";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"5";"1"
"41";"43";"H";"1";"";"2015/01/07";"Y";"N";"N";"N";"3";"0"
"42";"44";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"4";"1"
"43";"45";"D";"3";"SABADELL";"2011/06/16";"N";"N";"N";"N";"4";"1"
"44";"46";"H";"1";"";"2015/01/07";"Y";"N";"N";"N";"4";"1"
"45";"47";"H";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"4";"1"
"46";"48";"D";"2";"";"2015/01/07";"N";"N";"N";"N";"8";"1"
"47";"49";"H";"3";"";"2015/01/07";"N";"N";"N";"Y";"2";"1"
"48";"50";"D";"2";"";"2015/01/07";"N";"N";"Y";"N";"5";"1"
"49";"53";"H";"1";"";"2015/01/07";"N";"N";"N";"N";"5";"1"
"50";"54";"H";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"6";"1"
"51";"55";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"1"
"52";"56";"D";"3";"";"2015/01/07";"N";"N";"N";"Y";"0";"1"
"53";"57";"H";"2";"SABADELL";"2015/01/07";"Y";"Y";"N";"N";"6";"1"
"54";"58";"D";"2";"";"2015/01/07";"N";"N";"N";"N";"0";"1"
"55";"59";"D";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"56";"60";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"5";"1"
"57";"61";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"1"
"58";"62";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"1"
"59";"63";"D";"3";"";"2015/01/07";"N";"N";"Y";"N";"0";"1"
"60";"64";"D";"1";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"0";"1"
"61";"65";"D";"2";"";"2015/01/07";"N";"N";"Y";"N";"0";"1"
"62";"66";"D";"3";"";"2015/01/07";"N";"N";"N";"Y";"0";"1"
"63";"67";"D";"1";"";"2015/01/07";"Y";"N";"N";"N";"5";"1"
"64";"68";"D";"1";"";"2015/01/07";"Y";"N";"N";"N";"5";"0"
"65";"69";"D";"2";"";"2015/01/07";"N";"N";"N";"N";"6";"1"
"66";"70";"H";"3";"";"2015/01/07";"N";"Y";"N";"N";"0";"1"
"67";"72";"H";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"5";"1"
"68";"73";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"3";"1"
"69";"74";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"70";"75";"D";"3";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"71";"76";"D";"3";"";"2015/01/07";"N";"N";"N";"N";"0";"1"
"72";"77";"D";"3";"";"2015/01/07";"N";"N";"N";"N";"0";"1"
"73";"78";"D";"2";"BADIA DEL VALLÈS";"2015/01/07";"N";"N";"N";"N";"0";"1"
"74";"79";"H";"3";"BADIA DEL VALLÈS";"2015/01/07";"N";"N";"Y";"N";"0";"1"
"75";"80";"H";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"1"
"76";"81";"D";"3";"BARBERÀ DEL VALLÈS";"2015/01/07";"N";"N";"N";"Y";"0";"1"
"77";"82";"D";"3";"";"2015/01/07";"N";"Y";"N";"N";"0";"1"
"78";"83";"H";"3";"";"2015/01/07";"N";"N";"N";"N";"0";"1"
"79";"84";"D";"4";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"0";"1"
"80";"86";"H";"3";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"0";"1"
"81";"87";"H";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"0";"1"
"82";"88";"D";"4";"";"2015/01/07";"N";"N";"N";"Y";"0";"1"
"83";"89";"D";"3";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"0";"1"
"84";"90";"D";"2";"";"2015/01/07";"N";"N";"Y";"N";"0";"1"
"85";"91";"D";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"5";"0"
"86";"92";"D";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"1";"1"
"87";"93";"D";"2";"Sabadell";"2015/01/07";"Y";"N";"N";"Y";"3";"1"
"88";"94";"D";"3";"";"2015/01/07";"N";"N";"N";"N";"1";"1"
"89";"95";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"1"
"90";"96";"D";"4";"SABADELL";"2015/01/07";"N";"N";"N";"N";"2";"1"
"91";"97";"D";"4";"";"2015/01/07";"N";"Y";"N";"N";"2";"1"
"92";"98";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"5";"1"
"93";"99";"H";"2";"ALICANTE/ALACANT";"2015/01/07";"N";"N";"N";"N";"6";"1"
"94";"100";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"1";"0"
"95";"101";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"1";"0"
"96";"102";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"1"
"97";"103";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"5";"1"
"98";"104";"D";"2";"Montmeló";"2015/01/07";"N";"N";"N";"N";"3";"0"
"99";"107";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"1"
"100";"108";"H";"2";"";"2015/01/07";"Y";"N";"N";"N";"2";"0"
"101";"109";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"6";"1"
"102";"111";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"4";"1"
"103";"112";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"3";"0"
"104";"113";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"105";"114";"D";"4";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"106";"115";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"3";"0"
"107";"116";"H";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"108";"117";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"109";"118";"H";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"110";"119";"H";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"1"
"111";"120";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"112";"121";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"3";"1"
"113";"122";"H";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"4";"1"
"114";"123";"D";"1";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"6";"1"
"115";"125";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"3";"0"
"116";"126";"D";"2";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"7";"0"
"117";"127";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"118";"128";"D";"1";"Sabadell";"2015/01/07";"N";"N";"N";"N";"4";"1"
"119";"129";"H";"4";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"3";"0"
"120";"130";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"2";"0"
"121";"131";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"0"
"122";"132";"H";"3";"TURRE";"2015/01/07";"N";"N";"N";"N";"4";"1"
"123";"133";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"4";"0"
"124";"134";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"1";"1"
"125";"135";"H";"4";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"4";"0"
"126";"136";"D";"2";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"4";"0"
"127";"137";"H";"4";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"2";"0"
"128";"138";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"3";"1"
"129";"139";"D";"3";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"5";"0"
"130";"141";"D";"4";"SABADELL";"2012/02/01";"N";"N";"N";"Y";"7";"0"
"131";"142";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"2";"1"
"132";"143";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"3";"0"
"133";"144";"H";"3";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"2";"0"
"134";"146";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"4";"1"
"135";"147";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"3";"0"
"136";"148";"H";"3";"Sant Quirze del Vallès";"2015/01/07";"N";"N";"Y";"N";"3";"1"
"137";"149";"H";"4";"Sant Quirze del Vallès";"2015/01/07";"N";"N";"N";"Y";"3";"1"
"138";"150";"D";"1";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"3";"0"
"139";"151";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"4";"1"
"140";"152";"H";"2";"Sant Quirze del Vallès";"2015/01/07";"N";"N";"N";"N";"6";"1"
"141";"153";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"4";"1"
"142";"154";"H";"2";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"1";"0"
"143";"155";"D";"2";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"4";"0"
"144";"156";"D";"4";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"2";"0"
"145";"157";"H";"2";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"5";"0"
"146";"158";"H";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"2";"0"
"147";"159";"H";"4";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"3";"1"
"148";"160";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"1"
"149";"161";"H";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"1";"0"
"150";"162";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"4";"1"
"151";"163";"D";"3";"BARBERÀ DEL VALLÈS";"2015/01/07";"N";"N";"N";"Y";"3";"2"
"152";"164";"D";"1";"Cerdanyola del Vallès";"2015/01/07";"N";"N";"N";"N";"4";"1"
"153";"165";"D";"2";"SABADELL";"2015/01/07";"Y";"N";"Y";"N";"4";"0"
"154";"166";"H";"3";"";"2015/01/07";"N";"N";"Y";"N";"3";"0"
"155";"167";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"3";"2"
"156";"168";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"3";"0"
"157";"169";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"6";"0"
"158";"170";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"2";"0"
"159";"172";"D";"1";"";"2015/01/07";"Y";"N";"N";"N";"0";"0"
"160";"173";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"6";"1"
"161";"174";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"7";"1"
"162";"175";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"4";"1"
"163";"178";"H";"2";"Sitges";"2015/01/07";"N";"N";"N";"N";"5";"0"
"164";"179";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"3";"0"
"165";"180";"D";"3";"CERDANYOLA DEL VALLÈS";"2015/01/07";"N";"N";"N";"N";"2";"1"
"166";"182";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"7";"0"
"167";"183";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"2";"1"
"168";"184";"D";"3";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"7";"0"
"169";"185";"D";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"8";"0"
"170";"186";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"8";"0"
"171";"187";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"3";"0"
"172";"188";"D";"2";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"3";"0"
"173";"189";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"2";"0"
"174";"190";"D";"1";"Sant Quirze del Vallès";"2015/01/07";"Y";"N";"N";"N";"3";"1"
"175";"192";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"4";"0"
"176";"193";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"5";"0"
"177";"194";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"3";"0"
"178";"195";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"4";"0"
"179";"196";"H";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"4";"0"
"180";"197";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"4";"1"
"181";"198";"D";"2";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"6";"1"
"182";"199";"D";"3";"SANT QUIRZE DEL VALLÈS";"2015/01/07";"N";"Y";"N";"N";"4";"1"
"183";"200";"H";"3";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"8";"1"
"184";"201";"H";"2";"Sant Cugat";"2015/01/07";"N";"Y";"N";"N";"7";"0"
"185";"202";"D";"4";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"5";"1"
"186";"203";"H";"2";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"2";"1"
"187";"204";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"7";"1"
"188";"205";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"7";"0"
"189";"206";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"7";"1"
"190";"207";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"4";"1"
"191";"208";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"1"
"192";"209";"D";"3";"Terrassa";"2015/01/07";"N";"N";"N";"N";"0";"0"
"193";"210";"H";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"194";"211";"H";"1";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"195";"212";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"196";"213";"H";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"1"
"197";"214";"D";"3";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"0";"1"
"198";"215";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"199";"216";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"1";"0"
"200";"217";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"3";"0"
"201";"218";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"5";"0"
"202";"219";"D";"3";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"4";"0"
"203";"220";"D";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"3";"0"
"204";"221";"D";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"3";"0"
"205";"222";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"4";"1"
"206";"223";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"1";"0"
"207";"224";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"1";"0"
"208";"225";"D";"3";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"1";"1"
"209";"226";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"1";"0"
"210";"227";"H";"3";"BARCELONA";"2015/01/07";"N";"N";"N";"N";"1";"0"
"211";"228";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"1";"0"
"212";"229";"D";"3";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"1";"0"
"213";"230";"H";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"6";"0"
"214";"231";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"4";"1"
"215";"232";"H";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"3";"0"
"216";"233";"H";"2";"Granollers";"2015/01/07";"N";"N";"N";"N";"5";"0"
"217";"234";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"2";"0"
"218";"235";"D";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"219";"236";"D";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"220";"237";"H";"1";"CERDANYOLA DEL VALLÈS";"2015/01/07";"N";"N";"N";"N";"0";"0"
"221";"238";"D";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"222";"239";"D";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"223";"240";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"224";"242";"D";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"225";"243";"H";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"226";"244";"H";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"227";"245";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"228";"246";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"229";"247";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"230";"248";"H";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"231";"249";"D";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"232";"250";"H";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"233";"251";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"234";"252";"H";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"235";"253";"H";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"236";"254";"D";"1";"TERRASSA";"2015/01/07";"N";"N";"N";"N";"0";"0"
"237";"255";"H";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"238";"256";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"239";"257";"H";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"240";"258";"D";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"241";"259";"D";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"242";"260";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"243";"261";"H";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"244";"262";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"245";"263";"D";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"246";"264";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"247";"265";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"248";"266";"D";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"249";"267";"H";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"250";"268";"H";"1";"Barberà del Vallès";"2015/01/07";"N";"N";"N";"Y";"1";"0"
"251";"269";"H";"1";"Sentmenat";"2015/01/07";"N";"N";"N";"N";"0";"0"
"252";"270";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"253";"271";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"254";"272";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"1"
"255";"273";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"256";"274";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"4";"0"
"257";"275";"H";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"258";"276";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"259";"277";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"260";"278";"D";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"261";"279";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"262";"280";"D";"4";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"1"
"263";"281";"H";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"264";"283";"H";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"265";"284";"H";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"266";"286";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"267";"287";"H";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"268";"288";"D";"1";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"269";"289";"H";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"270";"290";"H";"1";"Sant Quirze del Vallès";"2015/01/07";"N";"N";"N";"N";"5";"0"
"271";"291";"H";"4";"Castellar del Vallès";"2015/01/07";"N";"N";"N";"Y";"3";"0"
"272";"292";"H";"1";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"3";"0"
"273";"293";"D";"2";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"7";"0"
"274";"294";"D";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"3";"1"
"275";"295";"H";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"6";"0"
"276";"296";"D";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"4";"1"
"277";"297";"D";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"5";"0"
"278";"298";"D";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"4";"1"
"279";"299";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"3";"1"
"280";"300";"D";"1";"";"2015/01/07";"N";"N";"Y";"N";"5";"0"
"281";"301";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"5";"0"
"282";"302";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"6";"1"
"283";"303";"D";"2";"Castellar del Vallès";"2015/01/07";"N";"N";"N";"N";"5";"0"
"284";"304";"D";"3";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"12";"1"
"285";"305";"D";"4";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"11";"1"
"286";"306";"D";"2";"Sant Quirze del Vallès";"2015/01/07";"N";"Y";"N";"N";"7";"1"
"287";"307";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"4";"0"
"288";"308";"D";"2";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"6";"1"
"289";"309";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"7";"0"
"290";"310";"D";"3";"SANT QUIRZE DEL VALLÈS";"2015/01/07";"N";"N";"N";"N";"5";"1"
"291";"311";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"4";"0"
"292";"312";"D";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"7";"0"
"293";"313";"H";"1";"";"2015/01/07";"N";"N";"N";"N";"4";"0"
"294";"314";"H";"3";"Barberà del Vallès";"2015/01/07";"N";"N";"Y";"N";"5";"0"
"295";"315";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"2";"0"
"296";"316";"D";"4";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"3";"0"
"297";"317";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"5";"1"
"298";"318";"H";"3";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"3";"1"
"299";"319";"H";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"4";"0"
"300";"320";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"5";"1"
